#{"t_start": 1764970773.8894632, "env_id": "None"}
r,l,t,collision,coverage_total
-1.198582,96,3285.700076,1,11.487904705574538
10.234078,80,3303.676277,1,0.0
51.502632,199,3323.237091,0,0.0
52.562596,199,3343.069208,0,0.6724886880577808
33.134647,199,3362.713022,0,13.942808704972594
51.165994,199,3382.160072,0,0.0
49.790783,199,3401.721486,0,0.20284553880902617
-566.95122,199,3421.541307,0,69.45122025698933
27.15019,166,3440.685826,1,3.178992431497996
-499.537889,199,3460.646974,0,2.037888827564394
52.327352,199,3480.882552,0,0.3603427263834218
11.711352,104,3499.595837,1,8.19982017453398
-499.325765,199,3519.750729,0,1.8257650733923043
61.125394,199,3539.843522,0,0.9779827192569376
-208.257616,80,3558.379576,1,0.818087272644453
58.704515,199,3578.476337,0,5.9200353320670525
9.050729,72,3596.951216,1,0.0
-72.450756,85,3615.454206,1,85.0
6.350968,71,3633.704919,1,0.6373667578132628
39.576317,199,3653.80548,0,8.755542750362672
50.054646,199,3674.004231,0,0.0
31.710628,169,3693.643842,1,0.0
9.226365,80,3712.183909,1,0.0
47.987431,199,3732.320992,0,7.42627602734081
46.29276,199,3752.390767,0,0.0
48.053165,199,3772.452415,0,0.31704414923927426
47.632439,199,3792.65888,0,0.0
44.029583,199,3812.835901,0,3.5364862884265045
45.98193,199,3833.034819,0,0.0
47.282069,199,3853.260953,0,1.5987845539547754
9.63664,80,3871.818359,1,0.0
9.441299,80,3890.45378,1,0.0
-207.5,80,3909.157679,1,0.0
-58.453244,199,3929.31365,0,107.65969220021682
10.040264,80,3948.021753,1,0.0
51.088759,199,3968.233504,0,0.0
9.049634,80,3986.873593,1,0.0
57.358804,199,4007.006706,0,0.0
9.496375,80,4025.729296,1,0.0
55.168606,199,4045.893847,0,2.6186980321122335
51.786962,199,4066.41109,0,0.0
44.273279,199,4086.786844,0,0.0
44.346591,199,4107.43921,0,12.646855637192578
4.567839,85,4126.368359,1,7.184486738060642
-42.505221,199,4146.741934,0,89.060080350974
51.464609,199,4167.007293,0,0.0
50.264182,199,4187.497005,0,2.1168707077229483
45.296694,199,4207.9033,0,10.273193946755885
25.453105,199,4228.377276,0,12.158098315588296
57.171467,199,4248.76704,0,0.9068093801256337
-116.322876,199,4269.388106,0,112.0
47.339111,199,4290.084133,0,4.932050419701101
28.369122,199,4310.637062,0,17.194125598195328
10.26712,80,4329.689802,1,0.0
-62.231889,70,4348.615129,1,70.0
48.196054,199,4369.418654,0,0.0
9.315154,131,4389.332895,1,10.678055329318777
50.438872,199,4410.042317,0,0.0
45.203334,199,4430.988539,0,5.780100802072214
42.262975,199,4451.743109,0,3.598622738208702
34.338532,199,4472.327824,0,16.75928689253056
-207.5,80,4491.477367,1,0.0
-497.5,199,4512.142626,0,0.0
9.422387,80,4531.234763,1,0.0
46.747067,199,4551.821789,0,8.870368417910933
40.833871,199,4572.559356,0,4.9486203306137515
10.009355,80,4591.957948,1,0.0
44.165768,199,4612.708459,0,0.0
49.042794,199,4633.399142,0,0.25862855594793677
7.841249,72,4652.509421,1,0.0
45.77195,199,4673.366308,0,6.608263602232143
47.488623,199,4694.248206,0,0.0
9.11422,80,4713.482682,1,0.0
27.894944,168,4733.788986,1,0.0
52.588718,199,4754.672441,0,0.0
-149.623653,199,4775.52875,0,192.36885864258306
47.170521,199,4796.21358,0,0.0
45.940081,199,4817.012091,0,5.117748712100474
15.061471,112,4836.986768,1,1.3199147984344897
47.000221,199,4858.129925,0,0.0
-62.085419,70,4877.330231,1,70.0
-497.5,199,4898.312006,0,0.0
-61.307852,69,4917.586926,1,69.0
48.357879,199,4938.496171,0,0.0
9.8564,80,4957.853662,1,0.0
-147.208953,199,4978.602636,0,199.0
-207.5,80,4997.958997,1,0.0
45.278608,199,5018.983154,0,0.0
-497.5,199,5040.444208,0,0.0
22.583823,135,5060.541378,1,2.6113421836050486
9.11448,80,5080.067047,1,0.0
34.416519,199,5101.113871,0,11.81347188659969
46.609001,199,5122.696591,0,4.699465042501671
9.733557,80,5142.196658,1,0.0
7.792138,72,5161.723805,1,0.0
51.304378,199,5182.811962,0,4.116013048712759
-497.605864,199,5203.662024,0,0.10586351886418191
41.685498,199,5224.875265,0,8.318565004438957
50.36462,199,5246.0941,0,4.6132107764299555
14.749678,100,5266.352751,1,0.0
9.280878,80,5286.066014,1,0.0
-503.50258,199,5307.433821,0,6.002580239992894
41.163521,199,5328.615105,0,7.607635368374062
45.937661,199,5349.730302,0,4.42708347787648
46.486532,199,5371.092287,0,0.666832268298888
9.327033,80,5390.779994,1,1.6754172117155508
47.653398,199,5412.105571,0,0.0
8.890052,80,5431.788338,1,0.0
9.94455,80,5451.558967,1,0.0
52.843451,199,5472.945775,0,4.36616280688871
49.893824,199,5494.424918,0,0.0
8.839733,80,5514.34043,1,0.0
46.340481,199,5535.703688,0,5.536957257652033
50.370445,199,5556.868471,0,2.759371151993205
49.719308,199,5578.491277,0,5.479985996005308
58.280817,199,5600.195968,0,0.0
52.173765,199,5621.929585,0,0.4165208408395978
49.008671,199,5643.349516,0,0.48241088867212056
45.296455,199,5664.843322,0,2.8708660187954633
51.143304,199,5686.34316,0,0.0
-97.812523,118,5706.782132,1,118.0
45.371822,199,5728.444383,0,10.000601350356597
